modele,accuracy,precision,recall,f1,roc_auc,temps_entrainement_sec
Gradient Boosting,0.991,0.9464285714285714,0.7794117647058824,0.8548387096774194,0.9759126476677629,2.27966046333313
Random Forest,0.9875,0.9387755102040817,0.6764705882352942,0.7863247863247863,0.9651953172573379,2.189671754837036
SVM,0.9235,0.2946859903381642,0.8970588235294118,0.44363636363636366,0.9676501035196687,5.505208969116211
Logistic Regression,0.8655,0.18885448916408668,0.8970588235294118,0.31202046035805625,0.9317607477773718,0.10313940048217773
